id,Name,Team,Pos,Pos Rk,SCK,INT,FR,TD,PA,YA,FF Pt
D/ST1,49ers,SF,D/ST,1,44,13,9,2,321,5689,134.23
D/ST2,Steelers,PIT,D/ST,2,44,14,9,2,328,5650,133.75
D/ST3,Bills,BUF,D/ST,3,43,14,9,3,336,5759,125.05
D/ST4,Saints,NO,D/ST,4,40,14,9,2,321,5621,132.93
D/ST5,Dolphins,MIA,D/ST,5,43,13,9,2,329,5696,128.62
D/ST6,Cowboys,DAL,D/ST,6,43,13,9,2,336,5705,125.29
D/ST7,Browns,CLV,D/ST,7,44,14,9,3,351,5719,125.69
D/ST8,Jets,NYJ,D/ST,8,42,13,9,3,353,5823,112.13
D/ST9,Patriots,NE,D/ST,9,41,13,9,3,367,5812,106.6
D/ST10,Packers,GB,D/ST,10,40,13,9,3,362,5759,111.95
D/ST11,Panthers,CAR,D/ST,11,40,13,9,2,360,5803,110.76
D/ST12,Bengals,CIN,D/ST,12,42,14,9,2,364,5889,105.08
D/ST13,Commanders,WAS,D/ST,13,42,12,9,2,380,5788,103.03
D/ST14,Buccaneers,TB,D/ST,14,39,13,9,2,366,5860,102.03
D/ST15,Ravens,BLT,D/ST,15,42,14,9,3,373,5964,99.12
D/ST16,Eagles,PHI,D/ST,16,45,14,9,2,376,5984,95.34
D/ST17,Titans,TEN,D/ST,17,43,13,9,2,377,5868,100.54
D/ST18,Seahawks,SEA,D/ST,18,43,13,9,2,378,6006,87.54
D/ST19,Falcons,ATL,D/ST,19,41,13,9,3,375,5921,98.87
D/ST20,Chiefs,KC,D/ST,20,45,14,9,2,395,6022,84.6
D/ST21,Broncos,DEN,D/ST,21,40,13,9,2,382,5949,87.81
D/ST22,Texans,HST,D/ST,22,40,13,9,3,381,5920,90.21
D/ST23,Jaguars,JAX,D/ST,23,40,14,9,3,381,6001,87.62
D/ST24,Chargers,LAC,D/ST,24,41,14,9,2,393,6138,79.22
D/ST25,Colts,IND,D/ST,25,40,13,9,2,381,5965,87.06
D/ST26,Giants,NYG,D/ST,26,40,14,9,2,400,6172,73.88
D/ST27,Lions,DET,D/ST,27,41,15,9,2,415,6251,69.78
D/ST28,Vikings,MIN,D/ST,28,38,13,9,3,418,6267,64.14
D/ST29,Bears,CHI,D/ST,29,38,13,9,2,413,6250,64.69
D/ST30,Rams,LAR,D/ST,30,40,12,9,2,448,6193,64.16
D/ST31,Cardinals,ARZ,D/ST,31,38,13,8,2,438,6240,62.59
D/ST32,Raiders,LV,D/ST,32,38,12,9,2,448,6297,53.71
