id,Name,Team,Pos,Pos Rk,FF Pt
K1,Justin Tucker,IDC,K,1,146.19
K2,Daniel Carlson,IDC,K,2,140.46
K3,Evan McPherson,IDC,K,3,143.54
K4,Harrison Butker,IDC,K,4,142.17
K5,Graham Gano,IDC,K,5,140.2
K6,Jason Myers,IDC,K,6,138.24
K7,Tyler Bass,IDC,K,7,139.11
K8,Jake Elliott,IDC,K,8,142.38
K9,Brett Maher,IDC,K,9,139.65
K10,Matt Gay,IDC,K,10,133.46
K11,Younghoe Koo,IDC,K,11,134.79
K12,Eddy Pineiro,IDC,K,12,129.26
K13,Greg Zuerlein,IDC,K,13,135.02
K14,Cairo Santos,IDC,K,14,139.36
K15,Brandon McManus,IDC,K,15,137.86
K16,Jake Moody,IDC,K,16,134.63
K17,Cameron Dicker,IDC,K,17,141.07
K18,Riley Patterson,IDC,K,18,137.51
K19,Greg Joseph,IDC,K,19,136.08
K20,Jason Sanders,IDC,K,20,133.74
K21,Chris Boswell,IDC,K,21,130.57
K22,Matt Prater,IDC,K,22,127.49
K23,Cade York,IDC,K,23,130.43
K24,Ka'imi Fairbairn,IDC,K,24,127.28
K25,Wil Lutz,IDC,K,25,126.01
K26,Anders Carlson,IDC,K,26,121.64
K27,Chad Ryland,IDC,K,27,122.83
K28,Chase McLaughlin,IDC,K,28,119.93
K29,Joey Slye,IDC,K,29,117.06
K30,Brandon Aubrey,IDC,K,30,131.92
K31,Caleb Shudak,IDC,K,31,122.68
K32,Tanner Brown,IDC,K,32,122.48
