,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10
0,Justin Jefferson|MIN|WR|322.0,Ja'Marr Chase|CIN|WR|313.0,Austin Ekeler|LAC|RB|274.0,Travis Kelce|KC|TE|278.0,Tyreek Hill|MIA|WR|294.0,Patrick Mahomes|KC|QB|371.0,Christian McCaffrey|SF|RB|271.0,Cooper Kupp|LAR|WR|311.0,Bijan Robinson|ATL|RB|256.0,Tony Pollard|DAL|RB|245.0
1,Josh Allen|BUF|QB|357.0,Chris Olave|NO|WR|211.0,Garrett Wilson|NYJ|WR|251.0,CeeDee Lamb|DAL|WR|264.0,Nick Chubb|CLV|RB|238.0,Davante Adams|LV|WR|288.0,Mark Andrews|BLT|TE|206.0,Saquon Barkley|NYG|RB|254.0,Derrick Henry|TEN|RB|256.0,Stefon Diggs|BUF|WR|264.0
2,Josh Jacobs|LV|RB|250.0,Amon-Ra St. Brown|DET|WR|243.0,A.J. Brown|PHI|WR|228.0,Jonathan Taylor|IND|RB|229.0,Jalen Hurts|PHI|QB|337.0,Jaylen Waddle|MIA|WR|231.0,J.K. Dobbins|BLT|RB|181.0,DK Metcalf|SEA|WR|228.0,Tee Higgins|CIN|WR|228.0,Jahmyr Gibbs|DET|RB|212.0
3,Joe Burrow|CIN|QB|336.0,Dameon Pierce|HST|RB|203.0,Aaron Jones|GB|RB|223.0,Lamar Jackson|BLT|QB|327.0,Deebo Samuel|SF|WR|215.0,Najee Harris|PIT|RB|215.0,Keenan Allen|LAC|WR|216.0,Travis Etienne|JAX|RB|215.0,DeVonta Smith|PHI|WR|219.0,Joe Mixon|CIN|RB|226.0
4,T.J. Hockenson|MIN|TE|193.0,Alvin Kamara|NO|RB|196.0,Rhamondre Stevenson|NE|RB|206.0,Breece Hall|NYJ|RB|199.0,Calvin Ridley|JAX|WR|202.0,James Conner|ARZ|RB|203.0,Amari Cooper|CLV|WR|208.0,Christian Watson|GB|WR|209.0,DeAndre Hopkins|TEN|WR|205.0,Justin Fields|CHI|QB|309.0
5,Miles Sanders|CAR|RB|203.0,Alexander Mattison|MIN|RB|199.0,Rachaad White|TB|RB|202.0,Javonte Williams|DEN|RB|188.0,Diontae Johnson|PIT|WR|205.0,George Kittle|SF|TE|166.0,Odell Beckham Jr.|BLT|WR|151.0,Chris Godwin|TB|WR|203.0,Justin Herbert|LAC|QB|296.0,Darren Waller|NYG|TE|186.0
6,Cam Akers|LAR|RB|198.0,Kyle Pitts|ATL|TE|161.0,Kenneth Walker III|SEA|RB|198.0,Terry McLaurin|WAS|WR|199.0,Dallas Goedert|PHI|TE|148.0,Isiah Pacheco|KC|RB|192.0,David Montgomery|DET|RB|193.0,Deshaun Watson|CLV|QB|297.0,DJ Moore|CHI|WR|203.0,Tyler Lockett|SEA|WR|197.0
7,Marquise Brown|ARZ|WR|195.0,Courtland Sutton|DEN|WR|185.0,Jerry Jeudy|DEN|WR|208.0,James Cook|BUF|RB|193.0,Trevor Lawrence|JAX|QB|282.0,Christian Kirk|JAX|WR|189.0,Mike Williams|LAC|WR|201.0,Mike Evans|TB|WR|205.0,Pat Freiermuth|PIT|TE|149.0,Drake London|ATL|WR|194.0
8,Evan Engram|JAX|TE|149.0,D'Andre Swift|PHI|RB|171.0,Brandon Aiyuk|SF|WR|187.0,George Pickens|PIT|WR|181.0,Dalvin Cook|NYJ|RB|156.0,Michael Pittman Jr.|IND|WR|181.0,Zay Flowers|BLT|WR|160.0,David Njoku|CLV|TE|139.0,Brandin Cooks|DAL|WR|190.0,Khalil Herbert|CHI|RB|157.0
9,Jeff Wilson Jr.|MIA|RB|162.0,Aaron Rodgers|NYJ|QB|269.0,Dak Prescott|DAL|QB|282.0,AJ Dillon|GB|RB|169.0,Jaxon Smith-Njigba|SEA|WR|171.0,Cole Kmet|CHI|TE|136.0,Justin Tucker|IDC|K|146.19,Jahan Dotson|WAS|WR|173.0,Brian Robinson Jr.|WAS|RB|154.0,Jordan Addison|MIN|WR|167.0
10,49ers|SF|D/ST|134.23,Skyy Moore|KC|WR|167.0,JuJu Smith-Schuster|NE|WR|167.0,Antonio Gibson|WAS|RB|148.0,Jerick McKinnon|KC|RB|136.0,Daniel Jones|NYG|QB|269.0,Treylon Burks|TEN|WR|179.0,Michael A. Thomas|NO|WR|173.0,Jakobi Meyers|LV|WR|174.0,Quentin Johnston|LAC|WR|153.0
11,Steelers|PIT|D/ST|133.75,Rondale Moore|ARZ|WR|166.0,Dalton Schultz|HST|TE|135.0,Gabriel Davis|BUF|WR|162.0,Zach Ertz|ARZ|TE|131.0,Elijah Mitchell|SF|RB|117.0,Samaje Perine|DEN|RB|149.0,Tua Tagovailoa|MIA|QB|257.0,Kirk Cousins|MIN|QB|285.0,Jamaal Williams|NO|RB|138.0
12,Darnell Mooney|CHI|WR|157.0,Saints|NO|D/ST|132.93,Rashaad Penny|PHI|RB|120.0,Bills|BUF|D/ST|125.05,DJ Chark|CAR|WR|153.0,Cowboys|DAL|D/ST|125.29,Dalton Kincaid|BUF|TE|121.0,Nico Collins|HST|WR|139.0,Dolphins|MIA|D/ST|128.62,Jaylen Warren|PIT|RB|117.0
13,Tyler Boyd|CIN|WR|150.0,Matthew Stafford|LAR|QB|238.0,Geno Smith|SEA|QB|271.0,Ezekiel Elliott|NE|RB|110.0,Adam Thielen|CAR|WR|144.0,Michael Gallup|DAL|WR|157.0,Ravens|BLT|D/ST|99.12,Anthony Richardson|IND|QB|243.0,Elijah Moore|CLV|WR|141.0,Harrison Butker|IDC|K|142.17
14,Zach Charbonnet|SEA|RB|129.0,Evan McPherson|IDC|K|143.54,Browns|CLV|D/ST|125.69,Russell Wilson|DEN|QB|271.0,Jets|NYJ|D/ST|112.13,Tyler Bass|IDC|K|139.11,Damien Harris|BUF|RB|105.0,Patriots|NE|D/ST|106.6,Devin Singletary|HST|RB|126.0,Eagles|PHI|D/ST|95.34
15,Cameron Dicker|IDC|K|141.07,Tank Bigsby|JAX|RB|93.0,Brett Maher|IDC|K|139.65,Jake Elliott|IDC|K|142.38,Jason Myers|IDC|K|138.24,Zay Jones|JAX|WR|139.0,Rashod Bateman|BLT|WR|121.0,Graham Gano|IDC|K|140.2,Daniel Carlson|IDC|K|140.46,Tyjae Spears|TEN|RB|72.0
